name,amenity,email,phone,website,instagram,address,neighborhood
"C'mon Everybody","bar","cmoneverybodybk@gmail.com","","https://www.cmoneverybody.com/","","325 Franklin Avenue","Brooklyn"
"Caledonia","pub","info@caledoniabar.com","+1 212-734-4300","https://www.caledoniabar.com","","1609 2nd Avenue",""
"Clandestino","bar","info@clandestinonyc.com","+1-212-475-5505","https://clandestinonyc.com/","","35 Canal Street",""
"Cloud Social","bar","cloudsocialnyc@gmail.com","+1-212-904-1092","https://cloudsocialnyc.com","https://www.instagram.com/cloudsocialnyc/","6 West 32nd Street",""
"d.b.a.","bar","dbafirstavenue@gmail.com","+1 212-475-5097","https://www.facebook.com/dbaeastvillage","","41 1st Avenue",""
"Diamond Lil","bar","diamondlilbar@gmail.com","","https://diamondlilbar.com","","179 Nassau Avenue","Brooklyn"
"District Social","bar","jacqueline@districtsocialnyc.com","+1-212-994-9599","https://districtsocialnyc.com/","","252 West 37th Street",""
"Doc Watson's","pub","docwatsons@gmail.com","+1 212-988-5300","http://docwatsonsnyc.com","docwatsonsnyc","1490 2nd Avenue",""
"Doublé","pub","info@madmanhg.com","+1-914-249-9525","https://www.doublebk.com/","double.nyc","1332 Halsey Street",""
"Dublin House","pub","info@dublinhousenyc.com","","http://www.dublinhousenyc.com/","","225 West 79th Street","New York"
"Dutch Freds","bar","info@dutchfreds.com","+1 646-918-6923","https://dutchfreds.com","dutchfreds","307 West 47th Street",""
"Dutch Kills","bar","info@dutchkillsbar.com","+1 718-383-2724","https://www.dutchkillsbar.com/","dutchkillsbar","27-24 Jackson Avenue",""
"Dylan Murphy's","bar","blake_dillon@hotmail.com","+1 212-988-9434","https://www.dylanmurphysnyc.com/","https://www.instagram.com/dylanmurphysnyc/","1453 3rd Avenue",""
"Eagle Bar","bar","theeaglenyc@aol.com","+1-646-473-1866","https://www.eaglenyc.com/","","554 West 28th Street","New York"
"East End Bar & Grill","bar","info@eastendbar.com","+1 212-348-3783","http://eastendbar.com","","1672 3rd Avenue",""
"East River Bar","bar","Eastriverbar@hotmail.com","+1-718-302-0511","https://eastriverbar.com/","","97 South 6th Street",""
"Easy Lover","bar","info@easyloverbar.com","","https://www.easyloverbar.com","easyloverbk","790 Metropolitan Avenue",""
"Eavesdrop","bar","hello@eavesdrop.nyc","","https://www.eavesdrop.nyc","","674 Manhattan Avenue","Brooklyn"
"Ed's Elbow Room","bar","info@heidishouseny.com","+1 646-649-3764","https://heidishouseny.com/eds-elbow-room","","308 East 78th Street",""
"Eli's Bar 91","bar","bar91@elizabar.com","+1 646-755-3999","https://www.elizabar.com/ElisEssentials_91_Madison.aspx","","1270 Madison Avenue",""
"Ethyl's Alcohol & Food","bar","ethyls.alcohol@gmail.com","+1 212-300-4132","https://ethylsalcohol.com/","https://www.instagram.com/ethylsalcohol.nyc","1629 2nd Avenue",""
"Evil Twin Brewery","bar","info@eviltwin.dk","+1-718-366-1850","https://eviltwin.nyc","@eviltwinbrewingnyc","1616 George Street",""
"Fine Time","bar","finetimebar@gmail.com","+1-718-483-9884","https://finetimebar.com/","","84 Central Avenue",""
"Friends and Lovers","bar","music@fnlbk.com","+1-917-979-3060","https://www.fnlbk.com","@friendsandloversbk","641 Classon Avenue","Brooklyn"
"GMT Tavern","pub","info@gmtnyc.com","+1-646-863-3776","https://gmtnyc.com/","","142 Bleecker Street","New York"
"Gottscheer Hall","pub","info@gottscheerhall.com","+1-718-366-3030","https://www.gottscheerhall.com/","","657 Fairview Avenue","Ridgewood"
"Goyana","bar","bargoyananyc@gmail.com","+1 917-213-4480","https://bargoyana.com","bargoyana","177 East 100th Street",""
"Grace's","bar","info@gracesnyc.com","+1-646-870-0333","https://www.gracesnyc.com/","gracesnyc","252 West 14th Street",""
"Grand Army","bar","events@grandarmybar.com","+1-718-643-1503","https://www.grandarmybar.com/","","336 State Street",""
"Harefield Road","pub","harefieldbrooklyn@me.com","+1 718-388-6870","https.//harefieldroad.com","harefieldroad","769 Metropolitan Avenue",""
"Heavy Woods","pub","heavywoodsbar@gmail.com","+1-929-234-3500","https://www.heavywoodsbar.com/","","50 Wyckoff Avenue",""
"Heidi’s House","bar","info@heidishouse.com","+1 212-249-0069","https://heidishouseny.com","heidishouseny","308 East 78th Street",""
"Hellbender Nighttime Cafe","bar","info@hellbendernighttimecafe.com","","https://www.hellbendernighttimecafe.com/","","68-22 Forest Avenue","Ridgewood"
"Hellcat Annie's taproom","bar","hellcatannies@gmail.com","+1 212-586-2707","https://hellcatannies.com","http://instagram.com/hellcatannies","637 10th Avenue",""
"Highwater Rooftop","bar","info@highwaterrooftop.com","+1-646-869-6710","https://www.highwaterrooftop.com/","","120 Water Street","New York"
"Horn's Hook Tavern","pub","info@hornshooktavern.com","+1 212-879-1500","https://www.hornshooktavern.com","hornshooktavern","1589 1st Avenue",""
"House of Kava","bar","info@houseofkava.com","+1-347-405-8228","https://houseofkava.com/","","238 Central Avenue",""
"Hutch Astoria","bar","info@hutchastoria.com","+1 347-832-0661","https://hutchastoria.com/","hutch_astoria","35-07 31st Avenue",""
"Ida's Nearabout","bar","Carrie@vortexhospitality.com","+1 718-433-1916","https://idasnearabout.com/","idasnearabout","43-13 Queens Boulevard",""
"IYKYK Forest Hills","bar","iykyklounge@gmail.com","+1 718 880 2338","https://www.iykykloungenyc.com/","","70-13 Austin Street","Forest Hills"
"Izzy Rose","bar","info@izzyrosebk.com","+1-929-480-8809","https://www.izzyrosebk.com/","@izzyrosebk","214 Greene Avenue","Brooklyn"
"Jack Demsey's","pub","info@jackdemseys.com","+1 212-629-9899","https://jackdemseys.com/","","36 West 33rd Street","New York"
"Jack Doyle's","pub","info@jackdoylesnyc.com","+1-212-268-1255","https://jackdoylesnyc.com/","","240 West 35th Street",""
"Jack's Fire Department","pub","contact@jacksfiredepartment.com","+1 718-784-9090","https://www.jacksfiredepartment.com/","jacksfiredept","39-46 Skillman Avenue",""
"Jeremy's","bar","info@jeremysnyc.com","+1 646-560-2753","https://jeremysnyc.com","jeremysnyc","1652 2nd Avenue",""
"Judy & Punch","bar","contact@judyandpunch.com","+1-718-626-3101","https://www.judyandpunch.com","","34-08 30th Avenue","Astoria"
"Juke Bar","bar","jukebarbk@gmail.com","+1-347-221-1692","https://bk.jukebarnyc.com/","","400 Troutman Street","Brooklyn"
"Karaoke City","bar","reservations@karaokecitynyc.com","+1 646-791-8318","http://www.karaokecitynyc.com/","KARAOKECITYNYC","22 West 32nd Street",""
"Kato Sake Works","pub","kanpai@katosakeworks.com","+1 917-719-1603","https://www.katosakeworks.com/","https://www.instagram.com/katosakeworks/","379 Troutman Street","Brooklyn"
"Keybar","bar","keybarreservation@gmail.com","+1 212-478-3021","https://www.keybar.com/","","143 Troutman Street","Brooklyn"
"Keys & Heels","bar","parties@keysandheelsnyc.com","+1 917-557-0217","https://www.keysandheelsnyc.com/","keysandheels","1488 2nd Avenue",""
"Kings County Brewers Collective","bar","info@kcbcbeer.com","+1-929-234-6557","https://kcbcbeer.com/","","381 Troutman Street","Brooklyn"
"Left Hand Path","bar","lefthandpathbk@gmail.com","","https://lefthandpathbk.com/","","89 Wyckoff Avenue",""
"Lexington Publick","pub","LexingtonPublickNYC@gmail.com","+1 646-799-9494","https://www.lexingtonpublicknyc.com/","lexingtonpublicknyc","1504 Lexington Avenue",""
"LIC Bar","bar","contact@licbar.com","+1 718 786 5400","https://www.licbar.com/","","45-58 Vernon Boulevard","Long Island City"
"Little Rascal Bar","bar","littlerascalbar@gmail.com","+1-646-971-2400","https://www.littlerascalrestaurant.com/greenpoint","","130 Franklin Street","Brooklyn"
"Luke’s Bar & Grill","pub","lukesbargrill@gmail.com","+1 212-249-7070","https://lukesbarandgrill.com/","lukesbargrill","1394 3rd Avenue","New York"
"Madeline's","bar","info@madelinesnyc.com","","https://madelinesnyc.com","","113 Franklin Street","Brooklyn"
"Maggie Mae's Bar","bar","info@maggiemaesbar.com","+1 718-433-3057","https://maggiemaesbar.com/","maggiemaesbar","41-15 Queens Boulevard",""
"Maggie's Place","pub","maggiesplace@erols.com","+1 212-753-5757","https://www.maggiesnyc.com/","https://instagram.com/maggiesplacenyc","21 East 47th Street","New York"
"Malone's Irish Bar & Grill","pub","info@malonesnyc.com","+1 646-858-0110","https://malonesnyc.com/","","692 3rd Avenue","New York"
"Manhatta","bar","info@manhattarestaurant.com","+1 212-230-5788","https://www.manhattarestaurant.com","manhatta_nyc","28 Liberty Street",""
"Melody's Piano Bar","bar","melodyspianobar@gmail.com","+1 646-559-2808","https://www.melodyspianobar.com/","melodyspianobar","1020 Lexington Avenue",""
"Mercury Bar","bar","info@mercurybarnyc.com","+1 212-262-7755","https://mercurybarnyc.com/","","659 9th Avenue",""
"Midnight Cafe","bar","info@midnighttheatre.com","+1-212-715-8686","https://www.hiddenleafnyc.com/","","75 Manhattan West Plaza","New York"
"Mother's","pub","mothersburgers@gmail.com","+1 718-384-7778","https://mothersbrooklyn.com","mothersburgers","347 Graham Avenue",""
"Mr. Fong's","bar","info@mrfongsnyc.com","+1-646-964-4540","https://mrfongs.com","","40 Market Street","New York"
"Nobody Told Me","bar","dumbo@nobodytoldme.nyc","","https://nobodytoldme.squarespace.com/dumbo","","188 Front Street","Brooklyn"
"Nowadays","bar","hello@nowadays.nyc","+1-347-523-8535","https://nowadays.nyc/","","56-06 Cooper Avenue","Queens"
"Olympia Bar","bar","kjdumbo68@gmail.com","+1-718-624-7900","https://olympiawinebar.com","","54 Jay Street","Brooklyn"
"Ophelia Lounge NYC","bar","info@opheliany.com","+1 212-980-4796","https://www.opheliany.com/","https://www.instagram.com/opheliany/","3 Mitchell Place",""
"Osamil","pub","info@osamil.com","+1 212-300-4713","https://www.osamil.com","osamilnyc","5 West 31st Street",""
"Peter Dillon's","pub","peterdillons36@gmail.com","+1-212-300-4091","https://www.peterdillons.com/","","2 East 36th Street","New York"
"Phoenix Bar","bar","brenda@phoenixbarnyc.com","+1-212-477-9979","https://www.phoenixbarnyc.com/","","447 East 13th Street","New York"
"Pig 'N' Whistle On 36th","pub","info@pignwhistleon36th.com","+1-212-239-4820","https://pignwhistleon36th.com/","","202 West 36th Street",""
"Praga Tapas Bar","bar","golenp312000@yahoo.com","+1 646-246-4060","https://pragatapas.com/","https://www.instagram.com/pragatapasny/?hl=en","63-10 Broadway","Woodside"
"Public Records","bar","hello@publicrecords.nyc","+1-347-529-4869","https://publicrecords.nyc","","233 Butler Street",""
"Reclamation Bar","bar","info@reclamationbar.com","+1 718-387-5178","https://www.reclamationbar.com","reclamationbar","817 Metropolitan Avenue",""
"Reif's Tavern","bar","tarynreif13@gmail.com","+1 212-426-0519","https://www.reifsbar.com","","302 East 92nd Street",""
"ReVision Lounge and Gallery","bar","revisionlounge@gmail.com","+1-646-490-7271","http://www.revisionlounge.com/","","219 Avenue B",""
"Ryan's Daughter","bar","info@ryansdaughter.nyc","+1 212-628-2613","https://ryansdaughter.nyc","ryansdaughterny","350 East 85th Street",""
"Scallywag's Irish Pub","pub","ScallywagsNYC@gmail.com","+1-646-490-4803","https://scallywagsnyc.com/","","508 9th Avenue",""
"Side Door","bar","info@sidedoornyc.com","+1 646-422-7660","https://www.sidedoornyc.com/","sidedoornyc","151 East 57th Street",""
"Singlish","bar","hello@singlishnyc.com","+16466092633","https://singlishnyc.com","","17 East 13th Street","New York"
"Society Billiards + Bar","bar","info@societybilliards.com","","https://societybilliards.com","society_billiards","10 East 21st Street",""
"St. Pat's Bar & Grill","bar","info@stpatsbar","+1-212-239-1111","https://stpatsbar.com","https://www.instagram.com/stpatsbarnyc/","22 West 46th",""
"Stitch Bar & Lounge","bar","info@stitchnyc.com","+1-212-852-4826","https://stitchnyc.com/","","247 West 37th Street",""
"Stumble Inn","bar","thestumbleinn@nycbestbars.com","+1 212-650-0561","http://thestumbleinn.eatdrinkandbemerry.com/","https://www.instagram.com/thestumbleinnnyc/","1454 2nd Avenue",""
"Sunny's","bar","info.sunnysbar@gmail.com","+1-718-625-8211","https://www.sunnysredhook.com","","253 Conover Street",""
"Sunshine Laundromat & Pinball","bar","pinball@sunshinelaundromat.com","+1-718-475-2055","https://sunshinelaundromat.com","","860 Manhattan Avenue","Brooklyn"
"Sweetwater Social","bar","events@drinksweetwater.com","+1-212-253-0477","https://www.drinksweetwater.com/","","643 Broadway",""
"Swift Hibernian Lounge","pub","info@swiftnycbar.com","+1 212-260-3600","https://www.swiftnycbar.com/","https://www.instagram.com/swifthibernianlounge/","34 East 4th Street","New York"
"The Anchored Inn","pub","eightydowd@gmail.com","+1-718-576-3297","https://theanchoredinn.com/","","57 Waterbury Street","Brooklyn"
"The Back Room","bar","thebackroomnyc@yahoo.com","+1-212-228-5098","https://www.backroomnyc.com","","102 Norfolk Street",""
"The Bad Old Days","bar","info@thebadolddays.com","+1-347-696-0612","https://thebadolddays.com/","","1684 Woodbine Street","Ridgewood"
"The Beast Next Door Cafe & Bar","bar","info@thebeaatnextdoor.com","+1 718-255-1612","https://www.thebeastnextdoor.com","","42-51 27th Street",""
"The Bitter End","bar","info@bitterend.com","+1-212-673-7030","https://bitterend.com/","","147 Bleecker Street",""
"The Bowery Beer Garden","bar","info@kitchen93.com","+1 212-343-8111","https://www.thebowerybeergarden.com","","93 Bowery",""
"The Burgary","pub","info@theburgary.com","+1 212-529-6900","https://www.theburgary.com","theburgary","67 Clinton Street",""
"The Django","bar","info@thedjangonyc.com","+1-212-519-6649","https://www.thedjangonyc.com/","","2 6th Avenue","New York"
"The Evergreen","bar","evergreenbarbk@gmail.com","+1-718-484-7399","https://www.theevergreenbar.com/","","109 Moffat Street","Brooklyn"
"The Footlight Bar","bar","footlightbar@gmail.com","+1-718-673-8211","https://thefootlightbar.nyc/","https://instagram.com/thefootlightbar","465 Seneca Avenue","Ridgewood"
"The Gordon Bar","bar","events@mercerstreethospitality.com","+1-212-219-3200","https://www.thegordonbar.com/","","60 Thompson Street",""
"The Grafton","pub","info@thegraftonnyc.com","+1-212-228-8580","http://www.thegraftonnyc.com/","","126 1st Avenue","New York"
"The Hairy Lemon","pub","info@hairylemonnyc.com","+1-646-869-2151","https://www.hairylemonnyc.com/","","28 Avenue B","New York"
"The Hidden Pearl","bar","info@hiddenpearlbk.com","+1-718-383-3291","https://www.hiddenpearlbk.com","","621 Manhattan Avenue","Brooklyn"
"The Houndstooth Pub","pub","info@houndstoothpub.com","+1 212-643-0034","https://www.houndstoothpub.com/","houndstoothpub","520 8th Avenue",""
"The Malt House","pub","hello@themalthousenyc.com","+1-212-228-7713","https://www.themalthousevillage.com/","","206 Thompson Street",""
"The Otheroom","bar","otheroomevents@gmail.com","+1-212-645-9758","https://theotheroomnyc.com/","","143 Perry Street",""
"The Owl's Tail","bar","info@owlstail.com","+1-646-609-3906","https://www.owlstail.com","owlstail","215 West 75th Street","New York"
"The Palace","bar","thegreenpointpalace@gmail.com","+1 718-383-3476","https://www.greenpointpalace.com","https://www.instagram.com/thegreenpointpalace","206 Nassau Avenue",""
"The Penrose","pub","info@penrosebar.com","+1 212-203-2751","https://www.penrosebar.com","penrosebar","1590 2nd Avenue",""
"The Pony Bar","pub","theponybar@gmail.com","+1 212-288-0090","https://theponybar.com","theponybarnyc","1444 1st Avenue",""
"The Rabbit Hole","bar","info@therabbithole.nyc","+1 718 255 1271","https://www.therabbithole.nyc/","","38-04 Broadway","Astoria"
"The Red Lion","bar","info@redlionnyc.com","+1-212-260-9797","https://redlionnyc.com/","","151 Bleecker Street",""
"The Skylark","bar","info@theskylarknyc.com","+1-212-257-4577","https://theskylarknyc.com/","","200 West 39th Street",""
"The Tradesman Bar","bar","info@tradesmanbar.com","+1-718-386-5300","https://tradesmanbar.com/","","222 Bushwick Avenue",""
"Tipsy Mandala","bar","Tipsymandala@gmail.com","+1 347-837-2403","https://www.buddhabarqueens.com","https://www.instagram.com/buddhabarqueens/","70-04 Roosevelt Avenue","Jackson Heights"
"Tørst","bar","info@torstnyc.com","+1-718-389-6034","https://www.torstnyc.com","","",""
"Troost","bar","troostnyc@gmail.com","","https://troostny.com","","1011 Manhattan Avenue","Brooklyn"
"Twins Lounge","bar","twinsloungenyc@gmail.com","","https://www.instagram.com/twinsloungenyc","","732 Manhattan Avenue","Brooklyn"
"Union Pool","bar","info@union-pool.com","","https://www.union-pool.com","","484 Union Avenue",""
"Vacations Bar & Rooftop","bar","EVENTS@VACATIONSBK.COM","+1-929-614-5409","https://www.vacationsbk.com/","VACATIONSBK","48 Cypress Avenue",""
"Valhalla","bar","valhallabarnyc@gmail.com","+1-212-757-2747","https://valhallabarnyc.com/","","",""
"Wonderville","bar","hello@wonderville.nyc","","https://wonderville.nyc/","https://instagram.com/wondervillenyc","1186 Broadway","Brooklyn"
"Yours Sincerely","bar","info@yourssincerely.co","","https://yourssincerely.co/","","41 Wilson Avenue",""
"""one star""","bar","theshakes@onestarnyc.com","+1 212-777-0100","","","147 West 24th Street","New York"
"Danger Danger","bar","Music@dangerdanger.bar","","","dangerdangerbar","",""
