name,amenity,email,phone,website,instagram,address,neighborhood
"Aquavit","restaurant","info@aquavit.org","+1-212-307-7311","http://www.aquavit.org","","65 East 55th Street","New York"
"Arcadia Bar and Kitchen","restaurant","arcadiabarlic@gmail.com","+1-347-730-6181","https://arcadiabarlic.com/","","12-21 Astoria Boulevard","Astoria"
"Ariana Afghan Kebab","restaurant","nfo@ariananewyorkcity.com","+1 212-262-2323; +1 212-262-0065","https://www.ariananewyorkcity.com/","","",""
"Aroma Indian","restaurant","aromaindiannyc@gmail.com","+1-718-200-0010","http://www.aromaindiancuisineny.com","","63-40 Woodhaven Boulevard","Queens"
"Arte Cafe","restaurant","nycrg12@gmail.com","+1-212-501-7014","https://www.artecafenyc.com","","106 West 73rd Street","New York"
"Askili Orchard","restaurant","info@askiliorchard.com","+1-646-344-1241","https://askiliorchard.com/","","401 6th Avenue","New York"
"Astro Restaurant","restaurant","astrorestaurnant@yahoo.com","+1 212-489-6284","https://astrorestaurant.com","astrorestaurant_nyc","1361 6th Avenue",""
"At Cave","bar","atcave@info.com","","https://www.atcave.com/","at_cave_nyc","103 East 2nd Street",""
"Atoboy","restaurant","info@atoboynyc.com","+1-646-476-7217","https://www.atoboynyc.com/","","43 East 28th Street","New York"
"Au Jus","restaurant","aujusharlem@gmail.com","+1 212-360-7200","https://www.aujusnyc.com/locations-harlem/","","1569 Lexington Avenue",""
"Au Za'atar","restaurant","info@auzaatar.com","+1 212-254-5660","https://auzaatar.com","auzaatar","188 Avenue A","New York"
"August","restaurant","info@augustny.com","+1 212-935-1433","https://www.augustny.com","august_nyc","791 Lexington Avenue",""
"Aurora SoHo","restaurant","info@aurorasoho.com","+1-212-334-9020","https://www.aurorasoho.com","","510 Broome Street",""
"B. Cafe","restaurant","info@bcafe.com","+1 212-249-3300","https://bcafe.com/","BCafeNYC","240 East 75th Street",""
"B&L Diner","restaurant","info@bldiner.com","+1 646-838-9020","https://www.bldiner.com/","bnldiner","1262 Broadway","New York"
"Bailey's Corner Pub","pub","baileyscornerpub@gmail.com","+1 212-650-1341","https://www.baileysnyc.com/","","1607 York Avenue",""
"Bánh Shop House","restaurant","banhvny@gmail.com","","https://banhny.com","https://www.instagram.com/banhnyc/","942 Amsterdam Avenue","New York"
"Bar 43","bar","info@bar43.com","+1 718-361-3090","https://bar43.com","bar43ny","43-06 43rd Street","Sunnyside"
"Bar Belly","restaurant","info@barbellynyc.com","+1-917-488-0973","https://www.barbellynyc.com","barbellynyc","14B Orchard Street","New York"
"Bar Felice","bar","barfelice@felicenyc.com","+1 212-249-4080","https://www.felicenyc.com/felice-bar","","1591 1st Avenue",""
"Barbaresco","restaurant","info@barbarescorestaurant.com","+1 212-517-2288","http://www.barbarescorestaurant.com/","","843 Lexington Avenue",""
"Basik","pub","contact@basikbrooklyn.com","+1 347-889-7597","https://www.basikbrooklyn.com","basikbrooklyn","323 Graham Avenue",""
"Bâtard","restaurant","info@batardtribeca.com","+1-212-219-2777","https://www.batardtribeca.com/","","239 West Broadway",""
"Bawarchi Indian Cuisine","restaurant","azizinus@yahoo.com","+1 212-289-7700","http://bawarchis.com","","1546 Madison Avenue",""
"Baylander Steel Beach","restaurant","michael@baylander.nyc","","https://www.baylander.nyc/","https://www.instagram.com/Baylander.nyc","","New York"
"BB.Q Olive Chicken","restaurant","gm@bbqktown.com","+1 212-967-8093","http://bbqktownnyc.com","https://www.instagram.com/bbqktownnyc","25 West 32nd Street",""
"Beer Authority","pub","info@beerauthoritynyc.com","+1-212-510-8415","https://www.beerauthoritynyc.com/","@beerauthoritynyc","300 West 40th Street","New York"
"Bellucci's Pizzeria","restaurant","info@belluccis.com","+1 718 407 2497","https://belluccis.com/","","37-08 30th Avenue","Astoria"
"Ben's Delicatessen","restaurant","manhattan@bensdeli.net","+1 212-398-2367","https://www.bensdeli.net/locations/manhattan-ny-kosher-deli-restaurant/","","209 West 38th Street",""
"Biddy's Pub","bar","biddys@biddysnyc.com","+1 212-534-4785","https://www.biddysnyc.com/","biddys_pub","301 East 91st Street",""
"Bierhaus NYC","restaurant","info@bierhausnyc.com","+1 212-867-2337","https://www.bierhausnyc.com","http://instagram.com/bierhausnyc","712 3rd Avenue","New York"
"Biga Bite","restaurant","reservations@bigabite.pizza","+1-917-265-8453","https://bigabite.pizza","bigabite","1 Clinton Street","New York"
"Binondo","restaurant","binondonyc@gmail.com","+1-929-920-8250","https://www.binondonyc.com/","https://www.instagram.com/____binondo__by__kabisera_____/","50 East Broadway","New York"
"Birds of a Feather","restaurant","birdsofafeather.nyc@gmail.com","+1-718-969-6800","https://birdsofafeatherny.com","","191 Grand Street","Brooklyn"
"Bistro Nando","restaurant","info@osterianandonyc.com","+1 212-731-4355","https://www.osterianandonyc.com","osterianandonyc","1589 2nd Avenue",""
"Black Crescent","bar","reynolds.livity@gmail.com","+1-347-820-4330","www.blackcrescentnyc.com","blackcrescentny","76 Clinton Street","New York"
"Black Tap","restaurant","events@blacktapnyc.com","+1 917-639-3089","https://blacktap.com/location/soho/","blacktapnyc","529 Broome Street",""
"Black Tap","restaurant","events@blacktapnyc.com","","https://blacktap.com/location/35th/","blacktap","",""
"BLACKBARN Restaurant","restaurant","info@blackbarnrestaurant.com","+1 212-265-5959","https://blackbarnrestaurant.com/","","19 East 26th Street","New York"
"Blaggards Pub","pub","blaggards@verizon.net","+1 212-382-2611","https://blaggardsnyc.com","","8 West 38th Street",""
"Bleecker Street Pizza","restaurant","owners@bleeckerstreetpizza.com","+1 212-924-4466","https://www.bleeckerstreetpizza.com","https://www.instagram.com/bleeckerstreetpizza","69 South 7th Avenue","New York"
"Blind Tiger","bar","blindtigeralehouse@gmail.com","+1 212-462-4682","https://www.blindtigeralehouse.com","blindtigeralehouse","281 Bleecker Street","New York"
"Bloom's Tavern","pub","bloomstavern@gmail.com","+1 212-308-9400","https://bloomsnyc.com/","http://instagram.com/bloomstavern","208 East 58th Street",""
"Blue Seafood Bar","restaurant","9thaveblue@gmail.com","+1-212-757-7511","https://blueseafoodbar.com/","","856 9th Avenue","New York"
"Blue-Park Kitchen","restaurant","hello@blueparkkitchen.com","+1-646-760-2168","https://www.blueparkkitchen.com/location/midtown/","","666 3rd Avenue","New York"
"BLVD Bistro","restaurant","info@boulevardbistrony.com","+1 212-678-6200","https://www.boulevardbistrony.com","blvdbistro","2149 Frederick Douglass Boulevard",""
"Boar's Head","restaurant","customerservice@boarsheadcafe.com","+1 646-682-7688","https://boarsheadcafe.com","","787 Lexington Avenue",""
"Bocado Cafe","restaurant","info@bocadocafenyc.com","+1 212-289-9004","http://www.bacadocafenyc.com","bocado_nyc","1293 Lexington Avenue",""
"Bohemian Spirit Restaurant","restaurant","bsrnewyork@gmail.com","+1 212-861-1038","https://bohemianspiritrestaurant.com/","","321 East 73rd Street",""
"Bondurants","bar","caity@bondurantsnyc.com","+1 929-279-1884","https://bondurantsnyc.com/","bondurantsnyc","303 East 85th Street",""
"Bonnie's","restaurant","hello@bonniesbrooklyn.com","+1 914 875 3709","https://www.bonniesbrooklyn.com/","https://www.instagram.com/bonniesbrooklyn/","398 Manhattan Avenue","Brooklyn"
"Bonus Room","bar","bonusroombar@gmail.com","","http://bonusroombar.com","","991 Wyckoff Avenue","Ridgewood"
"Boqueria","restaurant","ues@boquerianyc.com","+1 212-343-2227","https://boqueriarestaurant.com","","1460 2nd Avenue",""
"Boqueria Soho","restaurant","Soho@baqueriaNYC.com","+1-212-343-4255","https://boqueriarestaurant.com/tapas-bar-nyc-soho","boqueria","171 Spring Street",""
"Boran","restaurant","boranthai462@gmail.com","+1-718-490-0207; +1 (929) 298-0022","https://www.boranrestaurant.com/","","462 Court Street",""
"Boyfriend Coop","bar","queers@boyfriend.coop","","https://boyfriend.coop/","boyfriendcoop","1157 Myrtle Avenue","Brooklyn"
"Brandy's Piano Bar","bar","info@brandyspianobar.com","+1 212-744-4949","https://brandyspianobar.com","brandyspianobar","235 East 84th Street",""
"Breeze","restaurant","Service@breezebk.com","+1 212-718-0797","https://www.breezebk.com","","595 Manhattan Avenue",""
"Brouwerij Lane","pub","orders@brouwerijlanenyc.com","+1-347-529-6133","https://www.brouwerijlanenyc.com","","78 Greenpoint Avenue","Brooklyn"
"Bua Thai Ramen & Robata Grill","restaurant","buathairamennyc@gmail.com","+1 212-879-7999","https://buathairamennyc.com/","","1611 2nd Avenue",""
"Buck-!t Sports Bar & Latin Grill","bar","Buckitbar@gmail.com","+1 347-374-2157","https://buck-it-bar.com/","https://www.instagram.com/buck_itbar","1039 Surf Avenue",""
"Buena Onda Mescalera","bar","buenaondany@gmail.com","+1 212-931-6200","https://buenaondany.com/","","1446 1st Avenue",""
"Bund Dumpling House","restaurant","bunddumplinghouse@gmail.com","+1 718-971-5465","https://www.bundumplingsnyc.com/","","25-08 Broadway",""
"Bunker Vietnamese","restaurant","eat@bunkernyc.com","+1-718-386-4282","https://www.bunkernyc.com/","","99 Scott Avenue",""
"Bunna Cafe","restaurant","events@bunnaethiopia.net","+1-347-295-2227","https://www.bunnaethiopia.net/","","1084 Flushing Avenue",""
"Bustan","restaurant","bustanny@gmail.com","+1-212-595-5050","https://bustannyc.com","bustanny","487 Amsterdam Avenue","New York"
"C'mon Everybody","bar","cmoneverybodybk@gmail.com","","https://www.cmoneverybody.com/","","325 Franklin Avenue","Brooklyn"
"Cabana Restaurant & Bar","restaurant","cabanaqueens@gmail.com","+1-718-263-3600","https://www.cabanarestaurant.com/","","107-10 70th Road",""
"Cafe d'Alsace","restaurant","cafedalsace@chefdriven.com","+1 212-722-5133","https://www.cafedalsace.com","cafedalsacenyc","1703 2nd Avenue",""
"Café d'Anvers","restaurant","cafedanversnyc@gmail.com","+1 917-723-2005","https://cafedanversnyc.com/","","1567 Lexington Avenue",""
"Café Hestia","restaurant","info@cafehestia.com","+1 917-261-7005","https://www.cafehestia.com","","80 Maiden Lane",""
"Cafe Mogador","restaurant","cafemogador101@gmail.com","+1 212-677-2226","https://www.cafemogador.com/","","101 Saint Mark's Place","New York"
"Caledonia","pub","info@caledoniabar.com","+1 212-734-4300","https://www.caledoniabar.com","","1609 2nd Avenue",""
"Calexico","restaurant","greenpoint@calexico.com","+1 347-763-2129","https://www.calexico.com/location/greenpoint/","","645 Manhattan Avenue",""
"Calexico","restaurant","uppereast@calexico.com","+1 347-967-5955","https://www.calexico.com/location/upper-east-side/","","1491 2nd Avenue",""
"Cali Bun","restaurant","calibunastoria@gmail.com","+1 347-848-0088","https://www.calibun.com/","calibun_nyc","23-12 36th Avenue",""
"Cantina Cumbancha NYC","restaurant","info@lacumbanchanyc.com","+1-718-599-1952","https://www.lacumbanchanyc.com/","","232 North 12th Street","Brooklyn"
"Cara Mia","restaurant","ciao@ilovecaramia.com","+1 201 210 4777","https://ilovecaramia.com/nj.html","","201 70th Street","Guttenberg"
"Carnegie Diner & Cafe","restaurant","Hello@CarnegieDiner.com","+1-212-664-1001","https://www.carnegiediner.com/location/carnegie-diner-central-park/","","205 West 57th Street","New York"
"Casa Adela","restaurant","casaadelarestaurant@gmail.com","+1 212-473-1882","https://casaadelanewyork.mybistro.online/","https://www.instagram.com/casaadelarestaurant","66 Avenue C",""
"Casa Galicia","restaurant","info@casagaliciany.com","+1 718 932 1114","https://www.casagaliciany.com/restaurante-bar.php","","3709 31st Avenue","Astoria"
"Casa Lever","restaurant","Info@casalever.com","+1 212 888-2700","https://www.casalever.com","","",""
"Catch n' Chop","restaurant","info@catchnchop.com","+1 646-707-0103","https://catchnchop.com/","catchnchop","1600 3rd Avenue",""
"Cecily","restaurant","info@cecilybk.com","","https://www.cecilybk.com","","80 Franklin Street","Brooklyn"
"Chachawan Thai Restaurant","restaurant","Chachawan.nyc@gmail.com","+1-718-894-4404","https://www.chachawannyc.com/","","881 Woodward Avenue","Ridgewood"
"Chalong Southern Thai","restaurant","CHALONG@CHALONGNYC.COM","+1-212-466-6456","https://www.chalongnyc.com/","","749 9th Avenue","New York"
"Chelsea Ristorante Italiano","restaurant","chelsea108@hotmail.com","","https://www.chrnyc.com/","","108 8th Avenue","New York"
"Chick It Out ""Khao Man Gai""","restaurant","Chickitoutastoria@gmail.com","+19178326013","https://www.chickitoutastoria.com","","32-06 35th Street","Astoria"
"Chick Rocks","restaurant","Chickrocks2022@gmail.com","+1-347-242-3449","https://www.chickrocksusa.com/","https://www.instagram.com/chickrocks_usa/","30-02 Steinway Street","Astoria"
"Chin Xi'an Style Restaurant","restaurant","chinxiannj@gmail.com","+1-551-348-3900","https://www.chin-xian-restaurant.com/","","210 Hudson Street","Jersey City"
"Churrascaria Plataforma","restaurant","info@plataformaonline.com","+1 212-245-0505","https://plataformaonline.com","churrascariaplataforma","316 West 49th Street",""
"Cibao Restaurant","restaurant","info@cibaorestaurant.com","+1-212-228-0703","https://cibaorestaurant.com","","72 Clinton Street",""
"Clandestino","bar","info@clandestinonyc.com","+1-212-475-5505","https://clandestinonyc.com/","","35 Canal Street",""
"Claudia's","restaurant","info@claudiasbk.com","+1-347-987-3402","https://www.claudiasbk.com","@claudiasbklyn","39 Bushwick Avenue","Brooklyn"
"Clinton Hall 36","restaurant","info@clintonhallny.com","+1-212-695-0036","https://clintonhallny.com/36th-street/","","16 West 36th Street",""
"Cloud Social","bar","cloudsocialnyc@gmail.com","+1-212-904-1092","https://cloudsocialnyc.com","https://www.instagram.com/cloudsocialnyc/","6 West 32nd Street",""
"Colonia Verde","restaurant","tamyrofe@gmail.com","+1-347-689-4287","https://www.coloniaverdenyc.com/","","219 DeKalb Avenue","Brooklyn"
"Conmigo","restaurant","info@treotto.com","+1 212-368-1684","https://www.visual.menu/conmigo-madison/menu/brunch?category=Brunch%20Cocktails","","1410 Madison Avenue",""
"Conmigo","restaurant","contact@conmigonyc.com","+1 212-256-0056","https://conmigonyc.com/","conmigonyc","1685 1st Avenue",""
"Coppelia","restaurant","info@coppelianyc.com","+1 212-858-5001","https://ilovecoppelia.com","coppelianyc1","207 West 14th Street","New York"
"Corato II Pizza","restaurant","Coratopizza2@gmail.com","+1-718-381-5656","http://www.coratopizzany.com/","","60-91 Myrtle Avenue",""
"Court Square Diner","restaurant","courtdine@aol.com","+1 718-392-1222","https://courtsquarediner.com/","","45-30 23rd Street",""
"d.b.a.","bar","dbafirstavenue@gmail.com","+1 212-475-5097","https://www.facebook.com/dbaeastvillage","","41 1st Avenue",""
"Da Long Yi Hot Pot","restaurant","Service@Dalongyinyc.com","+1-347-813-4569","https://www.dalongyinyc.com/","https://www.instagram.com/dalongyiusa/","42-22 Crescent Street","Long Island City"
"Daikanyama","restaurant","daikanyamanewyork@gmail.com","+1 212-837-1853","https://www.dkyama.com/copy-of-newton-boston","Daikanyamanyc","",""
"Danbo","restaurant","info@ramendanbo.com","+1-718-783-0150","http://ramendanbo.com/locations/#brooklyn","","",""
"Darbar","restaurant","darbarnyc@yahoo.com","+1-212-751-4600","https://darbargrill.com","","",""
"de Mole","restaurant","demolerestaurant@aol.com","+1 718-392-2161","https://demolenyc.com/home","demole_sunnyside","45-02 48th Avenue",""
"Dee's Wood Fired Pizza & Kitchen","restaurant","info@deesnyc.com","+1-718-793-7553","https://www.deesnyc.com/","","107-23 Metropolitan Avenue","Forest Hills"
"Del Frisco's Double Eagle Steakhouse","restaurant","dfny@ldry.com","+1 212-575-5129","https://delfriscos.com/steakhouse/new-york/","","1221 6th Avenue",""
"Delmonico's Kitchen","restaurant","info@delmonicoskitchen.com","+1-212-695-5220","https://delmonicoskitchen.com/","","207 West 36th Street",""
"Dhamaka","restaurant","hello@dhamaka.nyc","+1 212-204-8616","https://www.dhamaka.nyc","","119 Delancey Street","New York"
"DhanShiri","restaurant","customercare@dhanshiriny.com","+1-718-725-0001","https://www.dhanshiriny.com","","169-28 Hillside Avenue","Jamaica"
"Diamond Lil","bar","diamondlilbar@gmail.com","","https://diamondlilbar.com","","179 Nassau Avenue","Brooklyn"
"Dirt Candy","restaurant","info@dirtcandynyc.com","+1 212-228-7732","https://www.dirtcandynyc.com/","","86 Allen Street","New York"
"Disco Birdies","restaurant","disco@discobirdies.com","","https://www.discobirdies.com","","355 Franklin Avenue","Brooklyn"
"Distilled","restaurant","info@DistilledNY.com","+1-646-809-9490","https://www.distilledny.com/","","211 West Broadway",""
"District Social","bar","jacqueline@districtsocialnyc.com","+1-212-994-9599","https://districtsocialnyc.com/","","252 West 37th Street",""
"DiWine Bar & Restaurant","restaurant","diwineonline@gmail.com","+1-718-777-1355","https://diwineonline.com","","41-15 31st Avenue","Astoria"
"Doc Watson's","pub","docwatsons@gmail.com","+1 212-988-5300","http://docwatsonsnyc.com","docwatsonsnyc","1490 2nd Avenue",""
"Don Jose Taqueria","restaurant","donjosetaquerianj@gmail.com","+1-201-710-7788","https://www.donjosetaqueria.com/","https://www.instagram.com/donjosetaqueria","520 Anderson Avenue","Cliffside Park"
"Döner Haus","restaurant","sunnyside@doner.haus","","https://doner.haus","","45-21 Greenpoint Avenue",""
"Dorrian's","restaurant","contact@dorrians-nyc.com","+1-212-772-6660","https://www.dorrians-nyc.com","dorriansnyc","1616 2nd Avenue",""
"Doublé","pub","info@madmanhg.com","+1-914-249-9525","https://www.doublebk.com/","double.nyc","1332 Halsey Street",""
"Dublin House","pub","info@dublinhousenyc.com","","http://www.dublinhousenyc.com/","","225 West 79th Street","New York"
"Dullboy Bar","bar","hello@dullboybar.com","+1-201-795-1628","https://www.dullboybar.com/","","364 Grove Street","Jersey City"
"Dutch Freds","bar","info@dutchfreds.com","+1 646-918-6923","https://dutchfreds.com","dutchfreds","307 West 47th Street",""
"Dutch Kills","bar","info@dutchkillsbar.com","+1 718-383-2724","https://www.dutchkillsbar.com/","dutchkillsbar","27-24 Jackson Avenue",""
"Dylan Murphy's","bar","blake_dillon@hotmail.com","+1 212-988-9434","https://www.dylanmurphysnyc.com/","https://www.instagram.com/dylanmurphysnyc/","1453 3rd Avenue",""
"Eagle Bar","bar","theeaglenyc@aol.com","+1-646-473-1866","https://www.eaglenyc.com/","","554 West 28th Street","New York"
"East End Bar & Grill","bar","info@eastendbar.com","+1 212-348-3783","http://eastendbar.com","","1672 3rd Avenue",""
"East River Bar","bar","Eastriverbar@hotmail.com","+1-718-302-0511","https://eastriverbar.com/","","97 South 6th Street",""
"Easy Lover","bar","info@easyloverbar.com","","https://www.easyloverbar.com","easyloverbk","790 Metropolitan Avenue",""
"Eavesdrop","bar","hello@eavesdrop.nyc","","https://www.eavesdrop.nyc","","674 Manhattan Avenue","Brooklyn"
"Ed's Elbow Room","bar","info@heidishouseny.com","+1 646-649-3764","https://heidishouseny.com/eds-elbow-room","","308 East 78th Street",""
"Effy's Cafe on York","restaurant","1688yorkavenue@gmail.com","+1 646-490-6751","https://www.effyscafeonyork.com","","1688 York Avenue",""
"El Mitote","restaurant","hello@beyondrestgroup.com","+1-212-874-2929","https://www.elmitoteny.com/","elmitoteny","208 Columbus Ave","New York"
"El Vez","restaurant","elveznyc.info@starr-restaurants.com","+1-212-233-2500","https://elveznyc.com/","","259 Vesey Street",""
"Eli's Bar 91","bar","bar91@elizabar.com","+1 646-755-3999","https://www.elizabar.com/ElisEssentials_91_Madison.aspx","","1270 Madison Avenue",""
"Eli's Night Shift","restaurant","nightshift@elizabar.com","+1 212-879-7160","https://www.elizabar.com/nightshift.aspx","","189 East 79th Street",""
"Eli's Table","restaurant","elistable@elizabar.com","+1 212-717-9798","https://www.elizabar.com/Elis-Table.aspx","elistable_nyc","1413 3rd Avenue",""
"Emmy Squared","restaurant","askemily@emmysquaredpizza.com","+1-929-989-3669","https://www.emmysquaredpizza.com/location/midtown-west-new-york-ny/","","200 West 60th Street","New York"
"Empanada Mama","restaurant","info@empmamanyc.com","+1 212-698-9008","https://www.empmamanyc.com","","765 9th Avenue",""
"Empanada Mama","restaurant","info@empmamanyc.com","+1 212-673-0300","https://www.empmamanyc.com/","","95 Allen Street",""
"Empire Diner","restaurant","info@empire-diner.com","+1 212-335-2277","https://empire-diner.com/","","210 10th Avenue",""
"Empire Steakhouse","restaurant","info50@empiresteakhousenyc.com","+1-212-582-6900","https://www.empiresteakhousenyc.com/midtown-east","","151 East 50th Street","New York"
"Eris Evolution","nightclub","media@erisevolution.com","","https://www.erisevolution.com","","167 Graham Avenue",""
"Ethyl's Alcohol & Food","bar","ethyls.alcohol@gmail.com","+1 212-300-4132","https://ethylsalcohol.com/","https://www.instagram.com/ethylsalcohol.nyc","1629 2nd Avenue",""
"Evil Twin Brewery","bar","info@eviltwin.dk","+1-718-366-1850","https://eviltwin.nyc","@eviltwinbrewingnyc","1616 George Street",""
"Faro","restaurant","info@farobk.com","+1-718-381-8201","https://farobk.com/","","436 Jefferson Street",""
"Fat Choy","restaurant","fatchoynyc@gmail.com","+1 347-778-5889","https://www.fatchoynyc.com/","fatchoynyc","250 Broome Street",""
"Felice","restaurant","felice83@felicenyc.com","+1 212-249-4080","https://www.felicenyc.com/felice-84","","1593 1st Avenue","New York"
"Ferns","restaurant","team@fernsnyc.com","+1 646-998-5034","https://fernsnyc.com","fernsnyc","166 1st Avenue",""
"Finback Brewery","pub","info@finbackbrewery.com","+1-718-628-8600","http://www.finbackbrewery.com/","","78-01 77th Avenue","Ridgewood"
"Fine Time","bar","finetimebar@gmail.com","+1-718-483-9884","https://finetimebar.com/","","84 Central Avenue",""
"Fini Pizza","restaurant","info@finipizza.com","+1-929-969-3073","https://www.finipizza.com/","","305 Bedford Avenue","Brooklyn"
"Frankie and Johnie's Steakhouse","restaurant","46thst@frankieandjohnnies.com","+1 212-997-9494","https://frankieandjohnnies.com/","frankieandjohnnies46th","320 West 46th Street","New York"
"Friends and Lovers","bar","music@fnlbk.com","+1-917-979-3060","https://www.fnlbk.com","@friendsandloversbk","641 Classon Avenue","Brooklyn"
"Fulgurances, Laundromat","restaurant","laundromat@fulgurances.com","+1-347-223-4106","https://fulgurances.com/en/the-restaurants/fulgurances-laundromat/","","132 Franklin Street","Brooklyn"
"Gammeeok","restaurant","contact@gammeeok.com","+1 212-868-1180","https://www.gammeeok.com","","9 West 32nd Street",""
"Gaonnuri","restaurant","info@gaonnurinyc.com","+1 212-971-9045","https://www.gaonnurinyc.com/","gaonnurinyc","1250 Broadway","New York"
"Garden Café","restaurant","info@gardencafeny.com","+1-212-544-9480","https://gardencafeny.com/","","4961 Broadway",""
"Gargiulo's","restaurant","info@gargiulos.com","+1-718-266-4891","https://gargiulos.com","","2911 West 15th Street","Brooklyn"
"Gemini Diner","restaurant","info@geminidiner.com","+1-212-532-2143","https://www.geminidiner.com","","641 2nd Avenue",""
"Giardino D'Oro","restaurant","info@giardinodoro.com","+1 212-514-6400","https://giardinodoro.com","","5 Gold Street","New York"
"GiGi Curry & Noodle Bar","restaurant","hello@eatgigi.com","","https://eatgigi.com/","gigicurryandnoodlebar","264 Bleecker Street",""
"GMT Tavern","pub","info@gmtnyc.com","+1-646-863-3776","https://gmtnyc.com/","","142 Bleecker Street","New York"
